properties{
  x = 0,
  y = 0,
  width = 368,
  height = 272,
  min_layer = 0,
  max_layer = 2,
  tileset = "dungeon/light_brown",
}

tile{
  layer = 0,
  x = 40,
  y = 40,
  width = 192,
  height = 96,
  pattern = "floor_low.1-1",
}

tile{
  layer = 0,
  x = 136,
  y = 136,
  width = 192,
  height = 96,
  pattern = "floor_low.1-1",
}

tile{
  layer = 0,
  x = 48,
  y = 40,
  width = 176,
  height = 8,
  pattern = "wall_border.1-1",
}

tile{
  layer = 0,
  x = 224,
  y = 48,
  width = 8,
  height = 96,
  pattern = "wall_border.4-1",
}

tile{
  layer = 0,
  x = 40,
  y = 48,
  width = 8,
  height = 80,
  pattern = "wall_border.3-1",
}

tile{
  layer = 0,
  x = 48,
  y = 128,
  width = 96,
  height = 8,
  pattern = "wall_border.2-1",
}

tile{
  layer = 0,
  x = 136,
  y = 128,
  width = 8,
  height = 96,
  pattern = "wall_border.3-1",
}

tile{
  layer = 0,
  x = 144,
  y = 224,
  width = 176,
  height = 8,
  pattern = "wall_border.2-1",
}

tile{
  layer = 0,
  x = 320,
  y = 144,
  width = 8,
  height = 80,
  pattern = "wall_border.4-1",
}

tile{
  layer = 0,
  x = 224,
  y = 136,
  width = 96,
  height = 8,
  pattern = "wall_border.1-1",
}

tile{
  layer = 0,
  x = 320,
  y = 136,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.2-1",
}

tile{
  layer = 0,
  x = 320,
  y = 224,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.4-1",
}

tile{
  layer = 0,
  x = 136,
  y = 224,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.3-1",
}

tile{
  layer = 0,
  x = 40,
  y = 40,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.1-1",
}

tile{
  layer = 0,
  x = 224,
  y = 40,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.2-1",
}

tile{
  layer = 0,
  x = 40,
  y = 128,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.3-1",
}

tile{
  layer = 0,
  x = 224,
  y = 136,
  width = 8,
  height = 8,
  pattern = "wall_border.corner_reverse.2-1",
}

tile{
  layer = 0,
  x = 136,
  y = 128,
  width = 8,
  height = 8,
  pattern = "wall_border.corner_reverse.3-1",
}

tile{
  layer = 0,
  x = 88,
  y = 136,
  width = 32,
  height = 24,
  pattern = "wall.2-1",
}

tile{
  layer = 0,
  x = 40,
  y = 136,
  width = 32,
  height = 24,
  pattern = "wall.2-1",
}

tile{
  layer = 0,
  x = 16,
  y = 16,
  width = 24,
  height = 24,
  pattern = "wall.corner.1-1",
}

tile{
  layer = 0,
  x = 232,
  y = 16,
  width = 24,
  height = 24,
  pattern = "wall.corner.2-1",
}

tile{
  layer = 0,
  x = 16,
  y = 136,
  width = 24,
  height = 24,
  pattern = "wall.corner.3-1",
}

tile{
  layer = 0,
  x = 328,
  y = 232,
  width = 24,
  height = 24,
  pattern = "wall.corner.4-1",
}

tile{
  layer = 0,
  x = 112,
  y = 232,
  width = 24,
  height = 24,
  pattern = "wall.corner.3-1",
}

tile{
  layer = 0,
  x = 16,
  y = 40,
  width = 24,
  height = 96,
  pattern = "wall.3-1",
}

tile{
  layer = 0,
  x = 328,
  y = 136,
  width = 24,
  height = 96,
  pattern = "wall.4-1",
}

tile{
  layer = 0,
  x = 40,
  y = 16,
  width = 192,
  height = 24,
  pattern = "wall.1-1",
}

tile{
  layer = 0,
  x = 112,
  y = 152,
  width = 24,
  height = 80,
  pattern = "wall.3-1",
}

tile{
  layer = 0,
  x = 136,
  y = 232,
  width = 192,
  height = 24,
  pattern = "wall.2-1",
}

tile{
  layer = 0,
  x = 232,
  y = 40,
  width = 24,
  height = 80,
  pattern = "wall.4-1",
}

tile{
  layer = 0,
  x = 88,
  y = 136,
  width = 8,
  height = 16,
  pattern = "door.2.support.2-1",
}

tile{
  layer = 0,
  x = 64,
  y = 136,
  width = 8,
  height = 16,
  pattern = "door.2.support.1-1",
}

tile{
  layer = 0,
  x = 72,
  y = 136,
  width = 16,
  height = 16,
  pattern = "door.2",
}

tile{
  layer = 0,
  x = 232,
  y = 184,
  width = 32,
  height = 48,
  pattern = "bed.made",
}

tile{
  layer = 0,
  x = 296,
  y = 184,
  width = 32,
  height = 48,
  pattern = "bed.made",
}

tile{
  layer = 0,
  x = 264,
  y = 232,
  width = 32,
  height = 24,
  pattern = "window.2-1",
}

tile{
  layer = 0,
  x = 112,
  y = 136,
  width = 24,
  height = 24,
  pattern = "wall.corner_reverse.3-1",
}

tile{
  layer = 0,
  x = 88,
  y = 160,
  width = 8,
  height = 16,
  pattern = "1099",
}

tile{
  layer = 0,
  x = 64,
  y = 160,
  width = 8,
  height = 16,
  pattern = "1099",
}

tile{
  layer = 0,
  x = 72,
  y = 176,
  width = 16,
  height = 8,
  pattern = "1099",
}

tile{
  layer = 0,
  x = 328,
  y = 112,
  width = 24,
  height = 24,
  pattern = "wall.corner.2-1",
}

tile{
  layer = 0,
  x = 248,
  y = 112,
  width = 80,
  height = 24,
  pattern = "wall.1-1",
}

tile{
  layer = 0,
  x = 232,
  y = 112,
  width = 24,
  height = 24,
  pattern = "wall.corner_reverse.2-1",
}

destination{
  name = "from_outside",
  layer = 0,
  x = 80,
  y = 149,
  direction = 1,
  default = true,
}

teletransporter{
  name = "to_chill_valley",
  layer = 0,
  x = 72,
  y = 160,
  width = 16,
  height = 16,
  destination_map = "out/a2",
  destination = "from_z_house",
}

tile{
  layer = 1,
  x = 64,
  y = 152,
  width = 32,
  height = 8,
  pattern = "door_top.stairs.2-2",
}

tile{
  layer = 2,
  x = 0,
  y = 0,
  width = 256,
  height = 16,
  pattern = "ceiling.2",
}

tile{
  layer = 2,
  x = 256,
  y = 0,
  width = 112,
  height = 112,
  pattern = "ceiling.2",
}

tile{
  layer = 2,
  x = 112,
  y = 256,
  width = 240,
  height = 16,
  pattern = "ceiling.2",
}

tile{
  layer = 2,
  x = 0,
  y = 16,
  width = 16,
  height = 144,
  pattern = "ceiling.2",
}

tile{
  layer = 2,
  x = 352,
  y = 112,
  width = 16,
  height = 160,
  pattern = "ceiling.2",
}

